epoch,train_loss,train_recon_loss,train_kl_loss,train_dir_loss,valid_loss,valid_recon_loss,valid_kl_loss,l2_loss
0,5658.62109375,5647.482421875,572.6458740234375,0.0,,,,7.104696750640869
1,4818.56640625,4799.5712890625,651.3318481445312,0.0,,,,7.124026298522949
2,4714.33837890625,4694.46630859375,743.1813354492188,0.0,,,,7.143195152282715
3,4686.80615234375,4667.15625,791.1444702148438,0.0,,,,7.166367053985596
4,4661.60546875,4643.57177734375,813.1476440429688,0.0,,,,7.188591003417969
5,4603.0166015625,4586.71044921875,795.080078125,0.0,,,,7.209566116333008
6,4519.28662109375,4502.45263671875,771.1896362304688,0.0,,,,7.229310512542725
7,4382.56201171875,4363.53759765625,758.2494506835938,0.0,,,,7.249660015106201
8,4302.76220703125,4281.63818359375,756.6754760742188,0.0,,,,7.274062633514404
9,4285.97314453125,4262.73095703125,744.8854370117188,0.0,,,,7.294394016265869
10,4233.79931640625,4209.5625,717.1129760742188,0.0,,,,7.309957504272461
11,4195.74853515625,4170.39208984375,664.2265014648438,0.0,,,,7.316241264343262
12,4142.31884765625,4116.5302734375,592.5598754882812,0.0,,,,7.322918891906738
13,4070.158203125,4043.0908203125,518.7188110351562,0.0,,,,7.327601909637451
14,3962.845703125,3934.308349609375,458.527099609375,0.0,,,,7.334786415100098
15,3875.6328125,3845.385009765625,421.6357421875,0.0,,,,7.340211391448975
16,3819.279052734375,3785.189453125,414.4800109863281,0.0,,,,7.346087455749512
17,3741.547607421875,3706.657958984375,411.5543212890625,0.0,,,,7.352140426635742
18,3706.577880859375,3670.974853515625,408.077392578125,0.0,,,,7.355804443359375
19,3677.251220703125,3639.890625,405.1348571777344,0.0,,,,7.35989236831665
20,3646.676025390625,3605.671630859375,394.111572265625,0.0,,,,7.3647613525390625
21,3633.4326171875,3591.059814453125,377.2286071777344,0.0,,,,7.375536918640137
22,3606.4345703125,3564.495361328125,359.4747009277344,0.0,,,,7.3804216384887695
23,3570.1787109375,3524.194091796875,346.2361755371094,0.0,,,,7.384355545043945
24,3541.447021484375,3495.283203125,335.8508605957031,0.0,,,,7.38852596282959
25,3509.771484375,3461.947265625,329.1542663574219,0.0,,,,7.392025470733643
26,3477.637451171875,3432.177734375,314.5592346191406,0.0,,,,7.39939022064209
27,3481.318115234375,3437.442138671875,302.9315185546875,0.0,,,,7.4050679206848145
28,3474.4716796875,3427.8291015625,301.3073425292969,0.0,,,,7.40974760055542
29,3441.901611328125,3394.326904296875,299.3080749511719,0.0,,,,7.4119791984558105
30,3412.551025390625,3365.051025390625,294.6249694824219,0.0,,,,7.417665004730225
31,3422.258544921875,3373.296630859375,291.7256774902344,0.0,,,,7.4179558753967285
32,3393.200439453125,3342.641357421875,289.3028564453125,0.0,,,,7.418132781982422
33,3391.2080078125,3341.550048828125,290.7062072753906,0.0,,,,7.4207987785339355
34,3380.687744140625,3329.1396484375,289.3896789550781,0.0,,,,7.424923419952393
35,3360.358642578125,3307.091064453125,288.0711669921875,0.0,,,,7.4340739250183105
36,3346.291259765625,3293.914794921875,286.733154296875,0.0,,,,7.443000793457031
37,3342.445068359375,3290.810546875,286.11328125,0.0,,,,7.450131893157959
38,3329.085205078125,3278.949462890625,283.4471740722656,0.0,,,,7.45651912689209
39,3307.335693359375,3256.840087890625,280.3985900878906,0.0,,,,7.461291313171387
40,3307.829345703125,3254.822998046875,276.3899841308594,0.0,,,,7.469465255737305
41,3302.331787109375,3248.742431640625,274.9061584472656,0.0,,,,7.477830410003662
42,3304.42578125,3251.608154296875,274.2652282714844,0.0,,,,7.483580589294434
43,3295.827392578125,3242.995361328125,273.6824035644531,0.0,,,,7.488759517669678
44,3282.0625,3228.6171875,270.2193298339844,0.0,,,,7.494937896728516
45,3274.694091796875,3224.751953125,267.5537414550781,0.0,,,,7.504438877105713
46,3272.2939453125,3218.7236328125,265.8564453125,0.0,,,,7.5131683349609375
47,3257.1591796875,3203.024169921875,262.9510192871094,0.0,,,,7.521359443664551
48,3277.193359375,3224.0078125,264.6558532714844,0.0,,,,7.528753757476807
49,3259.591796875,3203.585205078125,262.06298828125,0.0,,,,7.5355000495910645
50,3238.966064453125,3182.475830078125,264.297607421875,0.0,,,,7.545605659484863
51,3236.076416015625,3180.2841796875,264.4884338378906,0.0,,,,7.555706024169922
52,3236.1630859375,3179.393310546875,264.4534606933594,0.0,,,,7.566646575927734
53,3221.5380859375,3164.7021484375,263.8354797363281,0.0,,,,7.5753560066223145
54,3226.746826171875,3170.454833984375,260.2796936035156,0.0,,,,7.583433151245117
55,3210.104736328125,3150.873779296875,258.75457763671875,0.0,,,,7.595958709716797
56,3219.736083984375,3160.626220703125,257.5888366699219,0.0,,,,7.605867385864258
57,3216.275634765625,3157.6728515625,256.505859375,0.0,,,,7.615960121154785
58,3204.211181640625,3145.9755859375,258.5237121582031,0.0,,,,7.6263346672058105
59,3197.1396484375,3138.5478515625,255.66241455078125,0.0,,,,7.63767147064209
60,3200.109619140625,3140.001708984375,252.67518615722656,0.0,,,,7.646988391876221
61,3193.008544921875,3133.335205078125,251.22251892089844,0.0,,,,7.654904365539551
62,3191.769775390625,3130.443115234375,249.28338623046875,0.0,,,,7.662922382354736
