epoch,train_loss,train_recon_loss,train_kl_loss,train_dir_loss,valid_loss,valid_recon_loss,valid_kl_loss,l2_loss
0,541.0288696289062,520.3533935546875,1606.4227294921875,4601.39990234375,,,,7.196165561676025
1,394.74652099609375,376.8570556640625,315.72906494140625,3062.199462890625,,,,7.355839252471924
2,340.3617248535156,319.67657470703125,207.82058715820312,8969.1640625,,,,7.502168655395508
3,343.7200622558594,320.91497802734375,149.9311065673828,3001.639404296875,,,,7.665657043457031
4,342.7591247558594,315.2940368652344,143.36705017089844,2151.7119140625,,,,7.862967491149902
5,314.2701110839844,287.12200927734375,108.73126220703125,1947.7706298828125,,,,8.003317832946777
6,300.1964416503906,270.9496154785156,99.52962493896484,8304.8037109375,,,,8.239511489868164
7,310.4552001953125,277.6368103027344,96.75154113769531,2524.18505859375,,,,8.440509796142578
8,304.2610778808594,268.5765686035156,89.90715789794922,2401.7099609375,,,,8.705496788024902
9,295.5359802246094,255.98709106445312,92.4316635131836,2381.179931640625,,,,8.981284141540527
10,286.1660461425781,247.7539825439453,78.55229187011719,1774.772705078125,,,,9.173429489135742
11,294.665771484375,252.73167419433594,80.76113891601562,2414.8984375,,,,9.452826499938965
12,305.4065246582031,260.5907897949219,75.5693588256836,1494.1380615234375,,,,9.660662651062012
13,293.05780029296875,251.01646423339844,65.07196044921875,2146.529052734375,,,,9.867485046386719
14,285.0660400390625,242.26011657714844,60.2578125,3874.215087890625,,,,10.099263191223145
15,290.4788818359375,248.4500274658203,53.75313949584961,1382.0010986328125,,,,10.31089973449707
16,294.1002502441406,251.73348999023438,52.20079040527344,18554.701171875,,,,10.53550910949707
17,296.68798828125,251.6971893310547,52.14249801635742,2221.869140625,,,,10.763547897338867
18,317.5072021484375,266.81512451171875,54.82196807861328,3512.6640625,,,,10.901557922363281
19,281.6126403808594,235.9811553955078,46.28839874267578,3172.567138671875,,,,11.048932075500488
20,277.9717712402344,232.228515625,43.69585037231445,2513.994140625,,,,11.106075286865234
21,295.5110778808594,247.9080810546875,41.42926788330078,1942.6800537109375,,,,11.203289985656738
22,297.8753967285156,246.97689819335938,42.76250457763672,2336.572021484375,,,,11.26494312286377
23,290.5559387207031,242.17807006835938,38.18108367919922,1757.2161865234375,,,,11.33344841003418
24,295.8704833984375,246.0248260498047,36.91901397705078,2703.387451171875,,,,11.365790367126465
25,296.79095458984375,245.74032592773438,36.29814147949219,1512.9049072265625,,,,11.534703254699707
26,294.81805419921875,245.342041015625,31.857465744018555,1203.7252197265625,,,,11.486699104309082
27,303.9867858886719,251.90457153320312,33.52775955200195,1517.2335205078125,,,,11.436511039733887
28,295.6495056152344,244.95407104492188,30.588272094726562,1704.13232421875,,,,11.513154983520508
29,293.3505554199219,241.752685546875,30.23143196105957,2428.392822265625,,,,11.54040813446045
30,294.1626892089844,242.71961975097656,28.583690643310547,2086.41650390625,,,,11.429271697998047
31,281.21929931640625,230.95101928710938,26.198591232299805,1603.728759765625,,,,11.435420036315918
32,283.1022033691406,231.82212829589844,26.940696716308594,2471.994384765625,,,,11.386155128479004
33,283.66583251953125,235.48553466796875,24.3593692779541,2145.992431640625,,,,11.281248092651367
34,285.0794677734375,233.46209716796875,26.66599464416504,1330.4029541015625,,,,11.222153663635254
35,297.48345947265625,247.86351013183594,25.268108367919922,1860.6212158203125,,,,11.280206680297852
36,301.62017822265625,254.36636352539062,23.497455596923828,2430.498291015625,,,,11.173617362976074
37,285.10418701171875,237.44366455078125,24.08698844909668,6892.2275390625,,,,11.196666717529297
38,279.06298828125,232.8966064453125,22.857641220092773,2439.06494140625,,,,11.097166061401367
39,283.52642822265625,236.14111328125,23.77872657775879,1388.1937255859375,,,,11.07417106628418
40,285.3210144042969,236.3294219970703,24.708255767822266,1893.498046875,,,,11.052277565002441
41,284.8888854980469,240.81776428222656,21.224044799804688,1153.3533935546875,,,,11.034162521362305
42,279.701171875,235.63697814941406,21.318714141845703,1240.35693359375,,,,10.926310539245605
43,274.6468505859375,227.75738525390625,23.338136672973633,1914.484130859375,,,,10.893537521362305
44,269.2479553222656,223.42901611328125,22.243478775024414,1597.959716796875,,,,10.90351390838623
45,270.43182373046875,224.9729461669922,22.476350784301758,2260.961181640625,,,,10.858717918395996
46,284.82586669921875,237.52615356445312,23.948955535888672,2026.5455322265625,,,,10.825079917907715
47,279.6312561035156,233.02427673339844,23.34970474243164,1567.27197265625,,,,10.793191909790039
48,288.0837707519531,243.97401428222656,20.95603370666504,2855.28759765625,,,,10.757219314575195
49,270.9273986816406,227.97605895996094,20.785337448120117,3147.72021484375,,,,10.612774848937988
50,273.82843017578125,228.6564178466797,21.626407623291016,1837.966064453125,,,,10.596405982971191
51,258.0465087890625,214.23284912109375,21.283382415771484,1812.51953125,,,,10.484458923339844
52,273.975830078125,228.6042938232422,23.320423126220703,15441.41015625,,,,10.480116844177246
53,267.31231689453125,223.2767333984375,21.924623489379883,3059.860595703125,,,,10.426179885864258
54,265.39544677734375,222.70277404785156,20.05451011657715,1317.8896484375,,,,10.425641059875488
55,270.66046142578125,228.62940979003906,19.930421829223633,3812.847412109375,,,,10.35110092163086
56,267.2987976074219,224.85211181640625,20.608598709106445,1760.355712890625,,,,10.268326759338379
57,266.8070983886719,224.5396270751953,19.99608612060547,1427.433837890625,,,,10.277914047241211
58,262.7981872558594,221.27316284179688,19.56756019592285,1522.334228515625,,,,10.166159629821777
59,269.8570556640625,227.50572204589844,21.263824462890625,2277.758056640625,,,,10.057312965393066
60,270.5779724121094,227.5062713623047,20.76756477355957,1973.699951171875,,,,10.069771766662598
61,271.77069091796875,227.6935272216797,22.309818267822266,2033.451904296875,,,,10.011137008666992
62,264.1417541503906,221.4221649169922,20.8800106048584,1483.2410888671875,,,,9.93644905090332
63,254.7435760498047,214.17245483398438,19.227083206176758,1704.8388671875,,,,9.971664428710938
64,261.0339050292969,219.3455047607422,19.800355911254883,1659.305419921875,,,,9.933954238891602
65,264.815673828125,221.84185791015625,20.951244354248047,1318.8548583984375,,,,9.856955528259277
66,254.40431213378906,213.35223388671875,19.69089126586914,1728.8858642578125,,,,9.869592666625977
67,265.7049865722656,223.73367309570312,20.420188903808594,1379.224365234375,,,,9.845877647399902
68,260.2011413574219,216.6286163330078,22.006155014038086,4612.1015625,,,,9.817845344543457
69,260.1884765625,217.28564453125,19.473424911499023,1064.9461669921875,,,,9.710229873657227
70,261.6960144042969,221.36463928222656,19.189992904663086,2436.4716796875,,,,9.698421478271484
71,259.751220703125,220.38027954101562,18.922557830810547,1071.251953125,,,,9.625743865966797
72,260.75177001953125,220.61557006835938,19.1939697265625,1478.4619140625,,,,9.561058044433594
73,295.47723388671875,255.75296020507812,18.458274841308594,1486.7193603515625,,,,9.548563003540039
74,266.31707763671875,225.23806762695312,19.575979232788086,20077.291015625,,,,9.50788688659668
75,259.4045104980469,219.06301879882812,19.541894912719727,1149.400146484375,,,,9.460762977600098
76,264.4594421386719,222.9779815673828,20.211509704589844,1183.15576171875,,,,9.436893463134766
77,251.9354248046875,212.0384521484375,19.723037719726562,2896.709716796875,,,,9.468883514404297
78,250.88465881347656,212.1442108154297,18.53173065185547,1983.8721923828125,,,,9.375801086425781
79,249.00038146972656,209.16433715820312,19.668895721435547,1466.8946533203125,,,,9.359582901000977
80,257.4018859863281,217.2295379638672,19.58962059020996,10605.7373046875,,,,9.316267967224121
81,250.54241943359375,211.81736755371094,18.486799240112305,1633.4178466796875,,,,9.235608100891113
82,252.9249267578125,214.35447692871094,18.258012771606445,5124.78515625,,,,9.174182891845703
83,261.4034118652344,222.9512939453125,17.885669708251953,1377.8057861328125,,,,9.075908660888672
84,247.5814208984375,210.59205627441406,16.844087600708008,2266.009765625,,,,9.10589599609375
85,259.0697937011719,217.7519073486328,19.91065788269043,1436.4608154296875,,,,9.085775375366211
86,251.28466796875,210.70162963867188,20.151840209960938,1650.2042236328125,,,,9.053268432617188
87,257.1108093261719,218.44744873046875,18.715972900390625,1293.749267578125,,,,8.957287788391113
88,248.64263916015625,210.11048889160156,18.365352630615234,1368.0767822265625,,,,8.996506690979004
