epoch,train_loss,train_recon_loss,train_kl_loss,train_dir_loss,valid_loss,valid_recon_loss,valid_kl_loss,l2_loss
0,3372.07421875,3371.46240234375,277.7268371582031,0.0,,,,3.2708210945129395
1,3020.38134765625,3018.77197265625,270.2395324707031,0.0,,,,3.2939951419830322
2,2983.51611328125,2981.028564453125,252.948486328125,0.0,,,,3.3093674182891846
3,2980.712158203125,2977.856689453125,206.5830535888672,0.0,,,,3.3197171688079834
4,2895.204345703125,2892.068115234375,172.8146514892578,0.0,,,,3.326854944229126
5,2786.4609375,2783.199951171875,145.76242065429688,0.0,,,,3.3323004245758057
6,2692.818115234375,2689.642822265625,122.89362335205078,0.0,,,,3.3404879570007324
7,2688.64306640625,2685.51953125,102.86878967285156,0.0,,,,3.351534366607666
8,2615.345458984375,2612.094482421875,91.91302490234375,0.0,,,,3.3615520000457764
9,2617.707763671875,2614.691162109375,74.40565490722656,0.0,,,,3.371415853500366
10,2581.78759765625,2578.77587890625,64.86371612548828,0.0,,,,3.3810276985168457
11,2543.198974609375,2540.04833984375,64.22647094726562,0.0,,,,3.3909459114074707
12,2499.14453125,2495.98974609375,58.16027069091797,0.0,,,,3.3986456394195557
13,2435.706787109375,2432.631591796875,52.306846618652344,0.0,,,,3.407492160797119
14,2402.369873046875,2399.0078125,53.68220901489258,0.0,,,,3.4164540767669678
15,2400.131103515625,2396.283447265625,57.18776321411133,0.0,,,,3.4233956336975098
16,2334.446533203125,2330.801025390625,49.5972900390625,0.0,,,,3.4293341636657715
17,2327.901123046875,2324.11669921875,49.02486801147461,0.0,,,,3.4371588230133057
18,2284.127197265625,2279.99462890625,50.664669036865234,0.0,,,,3.4446158409118652
19,2249.539794921875,2245.401123046875,49.062469482421875,0.0,,,,3.4519801139831543
20,2244.71875,2240.610107421875,46.81303787231445,0.0,,,,3.458956480026245
21,2225.343017578125,2220.693603515625,48.18485641479492,0.0,,,,3.46492600440979
22,2203.66748046875,2198.654541015625,50.8687744140625,0.0,,,,3.472783088684082
23,2193.86474609375,2189.248779296875,45.6413459777832,0.0,,,,3.480353355407715
24,2193.961181640625,2189.92822265625,37.54892349243164,0.0,,,,3.486966371536255
25,2179.72314453125,2175.39111328125,37.403221130371094,0.0,,,,3.4940590858459473
